"RowNumber","dayof-on","dayof-noton","daybef-on","daybef-noton","gender","HS","type-of-job","num-yrs-driving","cell-tel-exp","type-of-cell","Location"
"153","1","0","0","1","m","yes","nonprof","39","4-5","handheld","highspeed"
"154","0","1","0","1","m","yes","nonprof","29","4-5","handsfree","highspeed"
"155","0","1","0","1","m","yes","nonprof","35",">6","handsfree","lowspeed"
"156","0","1","0","1","m","yes","nonprof","53",">6","handheld","highspeed"
"157","1","0","0","1","m","yes","nonprof","20","5","handheld","highspeed"
"158","0","1","0","1","f","yes","nonprof","21",">6","handsfree","highspeed"
"159","0","1","0","1","m","yes","nonprof","24",">6","handsfree","highspeed"
"160","0","1","0","1","m","yes","nonprof","5","2-3","handsfree","highspeed"
"161","0","1","0","1","f","yes","nonprof","25","4-5","handheld","lowspeed"
"162","0","1","0","1","m","yes","prof","17","4-5","handsfree","highspeed"
"163","0","1","0","1","f","yes","nonprof","12","4-5","handsfree","lowspeed"
"164","0","1","0","1","f","yes","prof","28","1","handsfree","lowspeed"
"165","0","1","0","1","m","yes","nonprof","9","1","handsfree","highspeed"
"166","1","0","0","1","m","yes","nonprof","7","4-5","handsfree","highspeed"
"167","0","1","0","1","f","yes","nonprof","27","1","handsfree","highspeed"
"168","0","1","0","1","m","yes","prof","15","2-3","handsfree","highspeed"
"169","0","1","0","1","m","yes","nonprof","30",">6","handheld","highspeed"
"170","0","1","0","1","m","yes","nonprof","23",">6","handheld","highspeed"
"171","0","1","0","1","m","yes","nonprof","25","4-5","handsfree","highspeed"
"172","0","1","0","1","m","yes","nonprof","23",">6","handsfree","lowspeed"
"173","0","1","0","1","m","yes","prof","29","1","handsfree","highspeed"
"174","0","1","0","1","m","yes","nonprof","20","4-5","handheld","highspeed"
"175","0","1","0","1","f","yes","nonprof","17","4-5","handheld","highspeed"
"176","1","0","0","1","f","yes","prof","8","2-3","handsfree","highspeed"
"177","0","1","0","1","m","yes","prof","35","4-5","handsfree","highspeed"
"178","0","1","0","1","f","yes","nonprof","20","2-3","handheld","highspeed"
"179","1","0","0","1","m","no","nonprof","8","2-3","handsfree","highspeed"
"180","0","1","0","1","f","yes","nonprof","6","1","handsfree","highspeed"
"181","0","1","0","1","f","yes","nonprof","4","1","handsfree","highspeed"
"182","0","1","0","1","m","yes","prof","50","2-3","handsfree","lowspeed"
